type,stage_type,layer_type,layers_k1,layers_k2,act_on_last_layer_mp,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,dilated_stage,egatconv,1.0,1.0,False,96,0.1396,0.0056,419403.0,14.0878,0.1786,0.9623,0.0003,0.3847,0.1046,0.0235,0.0215,0.0432,0.0378,0.751,0.0287
dilated_gnn,dilated_stage,egatconv,1.0,1.0,True,95,0.1362,0.0071,419403.0,14.9008,0.3794,0.9626,0.0011,0.4468,0.1051,0.0387,0.0426,0.0685,0.068,0.7631,0.0285
dilated_gnn,dilated_stage,egatconv,1.0,2.0,False,98,0.1285,0.0112,600905.0,20.1005,0.1579,0.9646,0.0021,0.6166,0.0969,0.1126,0.0778,0.1824,0.1158,0.7895,0.0441
dilated_gnn,dilated_stage,egatconv,1.0,2.0,True,98,0.1275,0.0096,600905.0,20.0125,0.2122,0.965,0.0018,0.6333,0.0941,0.1299,0.065,0.2109,0.0983,0.7901,0.0373
dilated_gnn,dilated_stage,egatconv,1.0,3.0,False,99,0.1248,0.0079,782407.0,17.828,0.3707,0.9658,0.0016,0.6929,0.0328,0.1526,0.0592,0.2455,0.0804,0.8012,0.0304
dilated_gnn,dilated_stage,egatconv,1.0,3.0,True,93,0.1313,0.0083,782407.0,15.8876,0.2085,0.9647,0.0013,0.6611,0.0358,0.1086,0.0598,0.1808,0.0876,0.7718,0.0377
dilated_gnn,dilated_stage,egatconv,2.0,1.0,False,94,0.1327,0.0044,600903.0,13.5601,0.1675,0.963,0.0006,0.5295,0.0889,0.0578,0.0331,0.1023,0.0553,0.7835,0.0139
dilated_gnn,dilated_stage,egatconv,2.0,1.0,True,84,0.1375,0.0039,600903.0,13.7684,0.1483,0.9625,0.0006,0.4387,0.1223,0.036,0.023,0.066,0.0404,0.7583,0.0153
dilated_gnn,dilated_stage,egatconv,2.0,2.0,False,82,0.1352,0.0015,782405.0,15.9552,0.2234,0.964,0.0004,0.6389,0.0273,0.0896,0.0148,0.1568,0.0237,0.755,0.0132
dilated_gnn,dilated_stage,egatconv,2.0,2.0,True,80,0.1362,0.0029,782405.0,15.0969,0.1607,0.9641,0.0005,0.6614,0.0416,0.0855,0.0204,0.1505,0.0311,0.7505,0.0155
dilated_gnn,dilated_stage,egatconv,2.0,3.0,False,79,0.1358,0.0029,963907.0,17.4297,0.2052,0.964,0.0006,0.6481,0.0295,0.0818,0.0272,0.144,0.0422,0.7493,0.0142
dilated_gnn,dilated_stage,egatconv,2.0,3.0,True,97,0.138,0.003,963907.0,17.4803,0.2116,0.964,0.0007,0.6556,0.0592,0.0771,0.0252,0.1369,0.0428,0.7404,0.0136
dilated_gnn,dilated_stage,egatconv,3.0,1.0,False,62,0.1377,0.0042,782403.0,15.1015,0.2715,0.9627,0.0006,0.4646,0.1469,0.0402,0.0289,0.0727,0.0502,0.7568,0.0178
dilated_gnn,dilated_stage,egatconv,3.0,1.0,True,95,0.1342,0.0081,782403.0,15.6632,0.2754,0.9635,0.001,0.5901,0.0872,0.0713,0.0523,0.122,0.083,0.7662,0.0345
dilated_gnn,dilated_stage,egatconv,3.0,2.0,False,64,0.1361,0.0059,963905.0,19.4777,0.2839,0.9637,0.001,0.6132,0.1115,0.0692,0.0473,0.1203,0.0758,0.755,0.0259
dilated_gnn,dilated_stage,egatconv,3.0,2.0,True,87,0.1332,0.0062,963905.0,18.5308,0.1912,0.9642,0.0011,0.6533,0.0497,0.0903,0.0442,0.1556,0.0666,0.7645,0.0259
dilated_gnn,dilated_stage,egatconv,3.0,3.0,False,94,0.1377,0.0039,1145407.0,20.7982,0.266,0.9639,0.0007,0.6474,0.0373,0.0769,0.0237,0.1366,0.0381,0.7409,0.024
dilated_gnn,dilated_stage,egatconv,3.0,3.0,True,95,0.1353,0.007,1145407.0,19.9795,0.3219,0.9641,0.0012,0.6566,0.0518,0.0827,0.0507,0.1422,0.0791,0.7562,0.027
dilated_gnn,dilated_stage,eginconv,1.0,1.0,False,99,0.086,0.0024,599403.0,9.8209,0.1697,0.973,0.0007,0.7661,0.0128,0.3996,0.0169,0.5251,0.0169,0.9326,0.0049
dilated_gnn,dilated_stage,eginconv,1.0,1.0,True,99,0.0846,0.0023,599403.0,10.6032,0.1607,0.9733,0.0005,0.7698,0.0107,0.41,0.0115,0.5349,0.0109,0.9359,0.0059
dilated_gnn,dilated_stage,eginconv,1.0,2.0,False,99,0.0704,0.002,870905.0,13.6728,0.2521,0.9766,0.0006,0.7972,0.0095,0.5031,0.0175,0.6167,0.0146,0.9615,0.003
dilated_gnn,dilated_stage,eginconv,1.0,2.0,True,99,0.0701,0.0014,870905.0,11.8288,0.2087,0.9768,0.0004,0.806,0.008,0.5024,0.0101,0.619,0.0086,0.9617,0.0018
dilated_gnn,dilated_stage,eginconv,1.0,3.0,False,99,0.0928,0.0029,1142407.0,14.8254,0.325,0.972,0.001,0.7754,0.0109,0.3567,0.0314,0.4879,0.0297,0.9128,0.0059
dilated_gnn,dilated_stage,eginconv,1.0,3.0,True,99,0.0922,0.0043,1142407.0,15.7891,0.3534,0.9721,0.0012,0.7749,0.0092,0.3601,0.0396,0.4905,0.0371,0.9146,0.0098
dilated_gnn,dilated_stage,eginconv,2.0,1.0,False,99,0.0896,0.0028,870903.0,11.9066,0.1762,0.9726,0.0004,0.769,0.01,0.3836,0.009,0.5118,0.0098,0.921,0.0086
dilated_gnn,dilated_stage,eginconv,2.0,1.0,True,99,0.0901,0.0018,870903.0,10.7606,0.1331,0.9726,0.0006,0.7675,0.0136,0.3856,0.0111,0.5133,0.012,0.9198,0.0051
dilated_gnn,dilated_stage,eginconv,2.0,2.0,False,99,0.0846,0.0018,1142405.0,14.2749,0.2946,0.9739,0.0007,0.7796,0.0102,0.4213,0.0177,0.5469,0.017,0.9309,0.0051
dilated_gnn,dilated_stage,eginconv,2.0,2.0,True,98,0.0844,0.0023,1142405.0,14.9274,0.3028,0.9741,0.0006,0.7887,0.0101,0.4209,0.015,0.5488,0.0139,0.9316,0.0054
dilated_gnn,dilated_stage,eginconv,2.0,3.0,False,99,0.097,0.0024,1413907.0,17.0193,0.3891,0.9714,0.0007,0.7524,0.0111,0.3511,0.0193,0.4786,0.0195,0.8961,0.0078
dilated_gnn,dilated_stage,eginconv,2.0,3.0,True,99,0.0954,0.0022,1413907.0,16.8318,0.4025,0.9719,0.0007,0.7618,0.0165,0.3621,0.0134,0.4908,0.0145,0.9021,0.0059
dilated_gnn,dilated_stage,eginconv,3.0,1.0,False,99,0.0837,0.0025,1142403.0,13.0256,0.2361,0.9735,0.0007,0.7844,0.0142,0.4026,0.0195,0.5319,0.0183,0.9371,0.0055
dilated_gnn,dilated_stage,eginconv,3.0,1.0,True,98,0.0842,0.0036,1142403.0,13.1385,0.1217,0.9734,0.0007,0.784,0.0127,0.3983,0.0176,0.5281,0.0178,0.9365,0.0083
dilated_gnn,dilated_stage,eginconv,3.0,2.0,False,99,0.1039,0.0041,1413905.0,15.4217,0.5974,0.9701,0.0009,0.7649,0.0123,0.292,0.0336,0.4215,0.0352,0.8755,0.0129
dilated_gnn,dilated_stage,eginconv,3.0,2.0,True,99,0.1045,0.0042,1413905.0,15.4234,0.1949,0.97,0.0011,0.7589,0.0189,0.2903,0.0385,0.4186,0.0417,0.8732,0.0124
dilated_gnn,dilated_stage,eginconv,3.0,3.0,False,98,0.1074,0.0016,1685407.0,17.3446,0.3473,0.9691,0.0004,0.743,0.0142,0.2683,0.0119,0.394,0.0133,0.863,0.0062
dilated_gnn,dilated_stage,eginconv,3.0,3.0,True,99,0.1056,0.0019,1685407.0,15.0519,0.2177,0.9698,0.0005,0.7455,0.0086,0.2926,0.0193,0.4199,0.0201,0.8674,0.0082
standard_gnn,standard_stage,egatconv,,,False,95,0.1413,0.0057,963601.0,15.1677,0.0797,0.9622,0.0006,0.3619,0.1285,0.0314,0.0297,0.0564,0.0504,0.7392,0.0263
standard_gnn,standard_stage,egatconv,,,True,99,0.1412,0.0046,963601.0,15.8117,0.2679,0.9621,0.0005,0.3742,0.1062,0.027,0.0205,0.0496,0.036,0.7416,0.0213
standard_gnn,standard_stage,eginconv,,,False,99,0.1251,0.0087,1413601.0,12.356,0.166,0.9647,0.0019,0.5892,0.1155,0.1256,0.0784,0.1998,0.1165,0.801,0.0316
standard_gnn,standard_stage,eginconv,,,True,99,0.1237,0.0047,1413601.0,11.8574,0.117,0.9641,0.0009,0.6051,0.0431,0.1141,0.037,0.19,0.0539,0.8096,0.0172
